Family,Family Key,Surveillance Score,Stress Tier,Stress Score,Borrower Count,Fund Count,Manager Count,Borrowers,Funds,Managers,Primary Industry,Total FV ($M),Total Cost ($M),Unrealized %,Nearest Maturity,Weighted Avg Rate %,Weighted Avg Spread (bps),Non-Accrual,Non-Accrual Funds,PIK,PIK Funds,First Seen,Last Seen,Period Count
UBM AcquireCo LLC,ubm acquireco,2,GREEN,0,1,1,1,UBM AcquireCo LLC,MAIN,Main Street Capital (internal),,100.72,101.141,-0.0042,12/20/2027,10.0,,False,,False,,2025-12-31,2025-12-31,1
Arches Buyer Inc.,arches,2,GREEN,0,1,1,1,Arches Buyer Inc.,OCSL,Oaktree Capital Management,Interactive Media & Services,100.061,99.266,0.008,12/6/2027,5.37,,False,,False,,2025-09-30,2025-12-31,2
Delta Leasing SPV II LLC,delta leasing,2,GREEN,0,1,1,1,Delta Leasing SPV II LLC,OCSL,Oaktree Capital Management,Specialized Finance,99.656,99.385,0.0027,8/31/2029,,,False,,False,,2025-09-30,2025-12-31,2
Laboratories Bidco LLC,laboratories,2,GREEN,0,1,1,1,Laboratories Bidco LLC,ARCC,Ares Capital Management,,99.3,60.4,0.644,07/2029,5.16,,False,,False,,2025-09-30,2025-12-31,2
"Moffitt Holdings, LLC",moffitt,2,GREEN,0,1,1,1,"Moffitt Holdings, LLC",MAIN,Main Street Capital (internal),,98.8,96.565,0.0231,3/19/2030,13.0,,False,,False,,2025-09-30,2025-12-31,2
Vitesse Systems,vitesse systems,2,GREEN,0,1,1,1,Vitesse Systems,MAIN,Main Street Capital (internal),,98.008,98.008,0.0,12/22/2028,10.94,,False,,False,,2025-09-30,2025-12-31,2
"Spectrio, LLC",spectrio,2,GREEN,0,1,1,1,"Spectrio, LLC",MSDL,Morgan Stanley Investment Management,Interactive Media & Services,97.508,97.897,-0.004,,,,False,,False,,2025-09-30,2025-12-31,2
"AVEX Aviation Holdings, LLC",avex aviation,2,GREEN,0,1,1,1,"AVEX Aviation Holdings, LLC",MAIN,Main Street Capital (internal),,97.501,97.605,-0.0011,12/23/2027,11.41,,False,,False,,2025-09-30,2025-12-31,2
"CBT Nuggets, LLC",cbt nuggets,2,GREEN,0,1,1,1,"CBT Nuggets, LLC",MAIN,Main Street Capital (internal),,97.47,2.6,36.4885,,,,False,,False,,2025-09-30,2025-12-31,2
"Compass Systems & Sales, LLC",compass systems,2,GREEN,0,1,1,1,"Compass Systems & Sales, LLC",MAIN,Main Street Capital (internal),,97.419,98.347,-0.0094,11/22/2028,13.5,,False,,False,,2025-09-30,2025-12-31,2
GoEuro Travel GmbH,goeuro travel,2,GREEN,0,1,1,1,GoEuro Travel GmbH,HTGC,Hercules Capital (internal),Consumer & Business Services,97.413,97.026,0.004,,3.45,345.0,False,,False,,2025-09-30,2025-12-31,2
SLR Senior Lending Program LLC,slr senior,2,GREEN,0,1,1,1,SLR Senior Lending Program LLC,SLRC,SLR Capital Partners,Asset Management & Custody Banks,97.347,95.75,0.0167,,,,False,,False,,2025-09-30,2025-12-31,2
"Caribou Bidco, Ltd.",caribou,2,GREEN,0,1,1,1,"Caribou Bidco, Ltd.",BXSL,Blackstone Credit Advisors,Software (continued),94.772,74.555,0.2712,2/1/2029,,,False,,False,,2025-12-31,2025-12-31,1
"Infinity X1 Holdings, LLC",infinity x1,2,GREEN,0,1,1,1,"Infinity X1 Holdings, LLC",MAIN,Main Street Capital (internal),,94.772,78.064,0.214,3/31/2028,12.0,,False,,False,,2025-09-30,2025-12-31,2
"Iron-Main Investments, LLC",iron main,2,GREEN,0,1,1,1,"Iron-Main Investments, LLC",MAIN,Main Street Capital (internal),,94.308,94.342,-0.0004,1/31/2028,13.21,,False,,False,,2025-09-30,2025-12-31,2
"Waverly Advisors, LLC and WAAM Topco, LLC",waverly advisors,2,GREEN,0,1,1,1,"Waverly Advisors, LLC and WAAM Topco, LLC",ARCC,Ares Capital Management,,94.2,86.8,0.0853,03/2028,8.91,,False,,False,,2025-09-30,2025-12-31,2
"AMCP Pet Holdings, Inc. (Brightpet)",amcp pet,2,GREEN,0,1,1,1,"AMCP Pet Holdings, Inc. (Brightpet)",MSDL,Morgan Stanley Investment Management,Food Products,94.179,95.002,-0.0087,,,,False,,False,,2025-09-30,2025-12-31,2
"Recover Together, Inc.",recover together,2,GREEN,0,1,1,1,"Recover Together, Inc.",HTGC,Hercules Capital (internal),Electronics & Computer Hardware,93.732,94.312,-0.0061,,1.9,190.0,False,,False,,2025-09-30,2025-12-31,2
"Altior Healthcare, LLC",altior healthcare,2,GREEN,0,1,1,1,"Altior Healthcare, LLC",GLAD,Gladstone Management Corporation,,93.644,92.0,0.0179,,,,False,,False,,2025-12-31,2025-12-31,1
HealthEdge,healthedge,2,GREEN,0,1,1,1,HealthEdge,OTF,Blue Owl Credit Advisors,,93.446,93.487,-0.0004,6/2032,,,False,,False,,2025-09-30,2025-12-31,2
Legacy Swim Group,legacy swim,2,GREEN,0,1,1,1,Legacy Swim Group,MAIN,Main Street Capital (internal),,93.374,93.683,-0.0033,11/7/2030,13.0,,False,,False,,2025-12-31,2025-12-31,1
MCT Purchaserco Holding Inc.,mct purchaserco,2,GREEN,0,1,1,1,MCT Purchaserco Holding Inc.,MAIN,Main Street Capital (internal),,92.976,93.479,-0.0054,12/2/2030,9.3,,False,,False,,2025-12-31,2025-12-31,1
Harris Preston Fund Investments,harris preston,2,GREEN,0,1,1,1,Harris Preston Fund Investments,MAIN,Main Street Capital (internal),,92.163,58.365,0.5791,,,,False,,False,,2025-09-30,2025-12-31,2
TricorBraun,tricorbraun,2,GREEN,0,1,1,1,TricorBraun,OBDC,Blue Owl Credit Advisors,Containers and packaging,92.116,95.956,-0.04,,,,False,,False,,2025-09-30,2025-12-31,2
"Inception Fertility Ventures, LLC",inception fertility,2,GREEN,0,1,1,1,"Inception Fertility Ventures, LLC",BXSL,Blackstone Credit Advisors,Health Care Providers & Services (continued),91.811,93.058,-0.0134,4/29/2030,,,False,,False,,2025-12-31,2025-12-31,1
"Eagle Midstream Canada Finance, Inc.",eagle midstream,2,GREEN,0,1,1,1,"Eagle Midstream Canada Finance, Inc.",BXSL,Blackstone Credit Advisors,First Lien Debt - non-controlled/non-affiliated (continued),91.808,92.537,-0.0079,8/15/2028,,,False,,False,,2025-12-31,2025-12-31,1
"Gatekeeper Systems, Inc.",gatekeeper systems,2,GREEN,0,1,1,1,"Gatekeeper Systems, Inc.",BXSL,Blackstone Credit Advisors,Commercial Services & Supplies,91.433,92.026,-0.0064,8/28/2030,,,False,,False,,2025-12-31,2025-12-31,1
"VPP Group Holdings, L.P.",vpp group,2,GREEN,0,1,1,1,"VPP Group Holdings, L.P.",ARCC,Ares Capital Management,,90.3,85.6,0.0549,12/2027,9.44,,False,,False,,2025-09-30,2025-12-31,2
"Kajabi Holdings, LLC",kajabi,2,GREEN,0,1,1,1,"Kajabi Holdings, LLC",OTF,Blue Owl Credit Advisors,Internet & Direct Marketing Retail,89.598,50.025,0.7911,,,,False,,False,,2025-09-30,2025-12-31,2
"UPS Intermediate, LLC",ups,2,GREEN,0,1,1,1,"UPS Intermediate, LLC",MAIN,Main Street Capital (internal),,88.348,88.783,-0.0049,7/27/2029,10.36,,False,,False,,2025-09-30,2025-12-31,2
Resa Power LLC,resa power,2,GREEN,0,1,1,1,Resa Power LLC,FSK,FS/KKR Advisor,Commercial & Professional Services,87.7,88.0,-0.0034,,,,False,,False,,2025-09-30,2025-12-31,2
"Specialized Aviation Holdings, LLC",specialized aviation,2,GREEN,0,1,1,1,"Specialized Aviation Holdings, LLC",MAIN,Main Street Capital (internal),,86.724,86.987,-0.003,8/29/2030,13.0,,False,,False,,2025-09-30,2025-12-31,2
Vet's Choice Radiology LLC,vet s,2,GREEN,0,1,1,1,Vet's Choice Radiology LLC,GLAD,Gladstone Management Corporation,,86.703,85.5,0.0141,,,,False,,False,,2025-09-30,2025-12-31,2
"Slick Innovations, LLC",slick innovations,2,GREEN,0,1,1,1,"Slick Innovations, LLC",MAIN,Main Street Capital (internal),,86.232,81.632,0.0564,12/22/2027,14.0,,False,,False,,2025-09-30,2025-12-31,2
"NMC Crimson Holdings, Inc.",nmc crimson,2,GREEN,0,1,1,1,"NMC Crimson Holdings, Inc.",BXSL,Blackstone Credit Advisors,Health Care Technology,85.931,84.852,0.0127,3/1/2028,,,False,,False,,2025-12-31,2025-12-31,1
"RGIS Services, LLC",rgis services,2,GREEN,0,1,1,1,"RGIS Services, LLC",PSEC,Prospect Capital Management,Commercial Services & Supplies,85.529,64.925,0.3174,,,,False,,False,,2025-09-30,2025-12-31,2
Red Fox CD Acquisition Corp.,red fox,2,GREEN,0,1,1,1,Red Fox CD Acquisition Corp.,BXSL,Blackstone Credit Advisors,Trading Companies & Distributors,84.85,83.194,0.0199,3/4/2030,,,False,,False,,2025-12-31,2025-12-31,1
"NMI AcquisitionCo, Inc.",nmi acquisitionco,2,GREEN,0,1,1,1,"NMI AcquisitionCo, Inc.",CGBD,Carlyle Investment Management,High Tech Industries,84.618,84.682,-0.0008,9/6/2028,,,False,,False,,2025-09-30,2025-12-31,2
"BusinessSolver.com, Inc.",businesssolver com,2,GREEN,0,1,1,1,"BusinessSolver.com, Inc.",OTF,Blue Owl Credit Advisors,Application Software,84.045,84.048,-0.0,12/2032,,,False,,False,,2025-12-31,2025-12-31,1
"Doral Holdings, LLC",doral,2,GREEN,0,1,1,1,"Doral Holdings, LLC",MAIN,Main Street Capital (internal),,84.02,78.77,0.0666,5/20/2030,13.0,,False,,False,,2025-09-30,2025-12-31,2
"Raptor Technologies, LLC, Sycamore Bidco LTD and Rocket Parent, LLC",raptor technologies,2,GREEN,0,1,1,1,"Raptor Technologies, LLC, Sycamore Bidco LTD and Rocket Parent, LLC",ARCC,Ares Capital Management,,84.0,45.0,0.8667,10/2027,8.42,,False,,False,,2025-09-30,2025-12-31,2
"EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.",ep and,2,GREEN,0,1,1,1,"EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.",ARCC,Ares Capital Management,,82.8,49.8,0.6627,11/2028,8.44,,False,,False,,2025-09-30,2025-12-31,2
Italian Motorway Holdings S.à r.l,italian motorway,2,GREEN,0,1,1,1,Italian Motorway Holdings S.à r.l,BXSL,Blackstone Credit Advisors,Transportation Infrastructure,81.937,78.81,0.0397,4/28/2029,,,False,,False,,2025-12-31,2025-12-31,1
PCI Pharma Services,pci pharma,2,GREEN,0,1,1,1,PCI Pharma Services,FSK,FS/KKR Advisor,Health Care Equipment & Services,81.7,82.1,-0.0049,,,,False,,False,,2025-09-30,2025-12-31,2
Cash,cash,2,GREEN,0,1,1,1,Cash,MSDL,Morgan Stanley Investment Management,Cash and Cash Equivalents and Short Term Investments,81.434,81.434,0.0,,,,False,,False,,2025-12-31,2025-12-31,1
"Recovery Point Systems, Inc.",recovery point,2,GREEN,0,1,1,1,"Recovery Point Systems, Inc.",MSDL,Morgan Stanley Investment Management,IT Services,81.207,81.01,0.0024,,,,False,,False,,2025-09-30,2025-12-31,2
DocPlanner,docplanner,2,GREEN,0,1,1,1,DocPlanner,HTGC,Hercules Capital (internal),Debt Investments,80.519,69.857,0.1526,,2.75,275.0,False,,False,,2025-09-30,2025-12-31,2
"DirecTV Financing, LLC",directv financing,2,GREEN,0,1,1,1,"DirecTV Financing, LLC",OCSL,Oaktree Capital Management,Cable & Satellite,78.904,78.07,0.0107,8/2/2029,5.39,,False,,False,,2025-09-30,2025-12-31,2
"CLEO Communications Holding, LLC",cleo communications,2,GREEN,0,1,1,1,"CLEO Communications Holding, LLC",MSDL,Morgan Stanley Investment Management,Software,77.922,78.169,-0.0032,,,,False,,False,,2025-09-30,2025-12-31,2
"Dropbox, Inc.",dropbox,2,GREEN,0,1,1,1,"Dropbox, Inc.",BXSL,Blackstone Credit Advisors,Software (continued),77.905,78.035,-0.0017,12/11/2029,,,False,,False,,2025-12-31,2025-12-31,1
Infomedia,infomedia,2,GREEN,0,1,1,1,Infomedia,OTF,Blue Owl Credit Advisors,Specialty Retail,77.458,77.652,-0.0025,12/2032,,,False,,False,,2025-12-31,2025-12-31,1
ACESO Holding 4 S.A.R.L.,aceso,2,GREEN,0,1,1,1,ACESO Holding 4 S.A.R.L.,OCSL,Oaktree Capital Management,Health Care Services,77.33,73.849,0.0471,9/27/2031,5.75,,False,,False,,2025-09-30,2025-12-31,2
"LJ Perimeter Buyer, Inc.",lj perimeter,2,GREEN,0,1,1,1,"LJ Perimeter Buyer, Inc.",ARCC,Ares Capital Management,,77.0,43.4,0.7742,10/2028,10.47,,False,,False,,2025-09-30,2025-12-31,2
"Continental Buyer, Inc.",continental,2,GREEN,0,1,1,1,"Continental Buyer, Inc.",BXSL,Blackstone Credit Advisors,Health Care Technology (continued),76.796,76.825,-0.0004,4/2/2031,,,False,,False,,2025-12-31,2025-12-31,1
"User Zoom Technologies, Inc.",user zoom,2,GREEN,0,1,1,1,"User Zoom Technologies, Inc.",MSDL,Morgan Stanley Investment Management,,76.397,77.378,-0.0127,,,,False,,False,,2025-09-30,2025-12-31,2
"GI DI Cornfield Acquisition, LLC",gi di,2,GREEN,0,1,1,1,"GI DI Cornfield Acquisition, LLC",MSDL,Morgan Stanley Investment Management,IT Services,75.862,76.552,-0.009,,,,False,,False,,2025-09-30,2025-12-31,2
Consumer Cellular,consumer cellular,2,GREEN,0,1,1,1,Consumer Cellular,OTF,Blue Owl Credit Advisors,Wireless Telecommunication Services,74.926,74.221,0.0095,5/2032,,,False,,False,,2025-09-30,2025-12-31,2
"Infinite Bidco, LLC",infinite,2,GREEN,0,1,1,1,"Infinite Bidco, LLC",MSDL,Morgan Stanley Investment Management,Electrical Equipment,74.837,75.345,-0.0067,,,,False,,False,,2025-09-30,2025-12-31,2
DCG Acquisition Corp.,dcg,2,GREEN,0,1,1,1,DCG Acquisition Corp.,BXSL,Blackstone Credit Advisors,Chemicals,74.572,74.467,0.0014,6/13/2031,,,False,,False,,2025-12-31,2025-12-31,1
"Activate Holdings Corp. and CrossPoint Capital AS SPV, LP",activate and,2,GREEN,0,1,1,1,"Activate Holdings Corp. and CrossPoint Capital AS SPV, LP",ARCC,Ares Capital Management,Software and Services,74.1,48.9,0.5153,07/2030,8.92,,False,,False,,2025-09-30,2025-12-31,2
"AQA Acquisition Holdings, Inc.",aqa,2,GREEN,0,1,1,1,"AQA Acquisition Holdings, Inc.",CGBD,Carlyle Investment Management,High Tech Industries,74.064,74.011,0.0007,3/3/2029,,,False,,False,,2025-09-30,2025-12-31,2
"Syntax Systems, Ltd.",syntax systems,2,GREEN,0,1,1,1,"Syntax Systems, Ltd.",MSDL,Morgan Stanley Investment Management,IT Services,73.933,74.327,-0.0053,,,,False,,False,,2025-09-30,2025-12-31,2
"UFS, LLC",ufs,2,GREEN,0,1,1,1,"UFS, LLC",ARCC,Ares Capital Management,,73.5,37.0,0.9865,10/2031,8.5,,False,,False,,2025-12-31,2025-12-31,1
"Fairway Lawns, LLC",fairway lawns,2,GREEN,0,1,1,1,"Fairway Lawns, LLC",ARCC,Ares Capital Management,,73.0,73.0,0.0,05/2028,8.81,,False,,False,,2025-09-30,2025-12-31,2
"Shur-Co Holdco, Inc.",shur,2,GREEN,0,1,1,1,"Shur-Co Holdco, Inc.",ARCC,Ares Capital Management,,73.0,73.0,0.0,07/2030,9.22,,False,,False,,2025-09-30,2025-12-31,2
"GTIV, LLC*",gtiv,2,GREEN,0,1,1,1,"GTIV, LLC*",GBDC,GC Advisors,,71.983,72.483,-0.0069,,,,False,,False,,2025-09-30,2025-12-31,2
"SauceCo HoldCo, LLC",sauceco,2,GREEN,0,1,1,1,"SauceCo HoldCo, LLC",BCSF,Bain Capital Credit,Automotive,71.722,74.057,-0.0315,5/13/2030,5.75,,False,,False,,2025-09-30,2025-09-30,1
"CrossCountry Holdco, LLC",crosscountry,2,GREEN,0,1,1,1,"CrossCountry Holdco, LLC",ARCC,Ares Capital Management,Financial Services,71.6,0.0,,,,,False,,False,,2025-09-30,2025-12-31,2
Klick Inc.,klick,2,GREEN,0,1,1,1,Klick Inc.,OBDC,Blue Owl Credit Advisors,,71.447,71.453,-0.0001,11/2032,,,False,,False,,2025-09-30,2025-12-31,2
"ZRG Partners, LLC",zrg partners,2,GREEN,0,1,1,1,"ZRG Partners, LLC",MAIN,Main Street Capital (internal),,71.402,71.402,0.0,6/14/2029,9.9,,False,,False,,2025-09-30,2025-12-31,2
Hilb,hilb,2,GREEN,0,1,1,1,Hilb,OBDC,Blue Owl Credit Advisors,Insurance,71.028,70.838,0.0027,10/2031,,,False,,False,,2025-09-30,2025-12-31,2
Stripe Blue Owl Holdings LLC,stripe blue,2,GREEN,0,1,1,1,Stripe Blue Owl Holdings LLC,OTF,Blue Owl Credit Advisors,Joint ventures,70.848,70.976,-0.0018,,,,False,,False,,2025-12-31,2025-12-31,1
"KABAFUSION Parent, LLC",kabafusion,2,GREEN,0,1,1,1,"KABAFUSION Parent, LLC",OBDC,Blue Owl Credit Advisors,,70.613,70.023,0.0084,11/2031,,,False,,False,,2025-09-30,2025-12-31,2
Riviera Partners LLC,riviera partners,2,GREEN,0,1,1,1,Riviera Partners LLC,HTGC,Hercules Capital (internal),Consumer & Business Services,70.563,71.954,-0.0193,,8.28,827.5,False,,False,,2025-09-30,2025-12-31,2
Styron Receivables Funding Designated Activity Company,styron receivables,2,GREEN,0,1,1,1,Styron Receivables Funding Designated Activity Company,FSK,FS/KKR Advisor,Materials,70.3,70.3,0.0,,,,False,,False,,2025-12-31,2025-12-31,1
"OneOncology, LLC",oneoncology,2,GREEN,0,1,1,1,"OneOncology, LLC",OTF,Blue Owl Credit Advisors,Health Care Providers & Services,70.05,69.747,0.0043,6/2030,,,False,,False,,2025-09-30,2025-12-31,2
"6Sense Insights, Inc.",6sense insights,2,GREEN,0,1,1,1,"6Sense Insights, Inc.",OTF,Blue Owl Credit Advisors,Application Software,69.923,48.102,0.4536,,,,False,,False,,2025-09-30,2025-12-31,2
"Thrive Buyer, Inc. (Thrive Networks)",thrive thrive,2,GREEN,0,1,1,1,"Thrive Buyer, Inc. (Thrive Networks)",MSDL,Morgan Stanley Investment Management,IT Services,69.695,70.368,-0.0096,,,,False,,False,,2025-09-30,2025-12-31,2
"Sonatype, Inc.",sonatype,2,GREEN,0,1,1,1,"Sonatype, Inc.",GBDC,GC Advisors,,69.541,69.46,0.0012,,,,False,,False,,2025-09-30,2025-12-31,2
TEAM Technologies,team technologies,2,GREEN,0,1,1,1,TEAM Technologies,OBDC,Blue Owl Credit Advisors,Healthcare equipment and services,69.541,69.404,0.002,11/2030,,,False,,False,,2025-09-30,2025-12-31,2
CGMS Parent LLC,cgms,2,GREEN,0,1,1,1,CGMS Parent LLC,MAIN,Main Street Capital (internal),,69.469,69.715,-0.0035,12/26/2030,13.0,,False,,False,,2025-12-31,2025-12-31,1
"Giving Home Health Care, LLC",giving home,2,GREEN,0,1,1,1,"Giving Home Health Care, LLC",GLAD,Gladstone Management Corporation,,69.095,68.68,0.006,,,,False,,False,,2025-12-31,2025-12-31,1
"Kattegat Project Bidco, AB",kattegat ab,2,GREEN,0,1,1,1,"Kattegat Project Bidco, AB",BXSL,Blackstone Credit Advisors,Marine,68.441,64.74,0.0572,4/7/2031,,,False,,False,,2025-12-31,2025-12-31,1
"Strive Health Holdings, LLC",strive health,2,GREEN,0,1,1,1,"Strive Health Holdings, LLC",HTGC,Hercules Capital (internal),Electronics & Computer Hardware,68.126,66.796,0.0199,,0.89,88.9,False,,False,,2025-09-30,2025-12-31,2
"Water Holdings Acquisition, LLC",water,2,GREEN,0,1,1,1,"Water Holdings Acquisition, LLC",BXSL,Blackstone Credit Advisors,Commercial Services & Supplies (continued),66.971,66.579,0.0059,7/31/2031,,,False,,False,,2025-12-31,2025-12-31,1
Infobip Inc.,infobip,2,GREEN,0,1,1,1,Infobip Inc.,OTF,Blue Owl Credit Advisors,Application Software,66.692,66.478,0.0032,6/2029,,,False,,False,,2025-09-30,2025-12-31,2
"Tufin Software North America, Inc.",tufin software,2,GREEN,0,1,1,1,"Tufin Software North America, Inc.",CGBD,Carlyle Investment Management,Software,66.589,66.167,0.0064,8/17/2028,,,False,,False,,2025-09-30,2025-12-31,2
Apryse Software Corp.,apryse software,2,GREEN,0,1,1,1,Apryse Software Corp.,MSDL,Morgan Stanley Investment Management,Software,66.468,67.081,-0.0091,,,,False,,False,,2025-09-30,2025-12-31,2
uniQure B.V.,uniqure bv,2,GREEN,0,1,1,1,uniQure B.V.,HTGC,Hercules Capital (internal),Drug Discovery & Development,65.913,64.175,0.0271,,3.73,373.2,False,,False,,2025-09-30,2025-12-31,2
"Greenhouse Software, Inc.",greenhouse software,2,GREEN,0,1,1,1,"Greenhouse Software, Inc.",CGBD,Carlyle Investment Management,Software,65.812,64.677,0.0175,9/1/2028,,,False,,False,,2025-09-30,2025-12-31,2
"Fastener Distribution Holdings, LLC",fastener distribution,2,GREEN,0,1,1,1,"Fastener Distribution Holdings, LLC",BXSL,Blackstone Credit Advisors,Aerospace & Defense,65.81,65.496,0.0048,11/4/2031,,,False,,False,,2025-12-31,2025-12-31,1
"WP CPP Holdings, LLC",wp cpp,2,GREEN,0,1,1,1,"WP CPP Holdings, LLC",OCSL,Oaktree Capital Management,Aerospace & Defense,65.126,65.15,-0.0004,11/28/2029,7.0,,False,,False,,2025-09-30,2025-12-31,2
"Bridgepointe Technologies, LLC",bridgepointe technologies,2,GREEN,0,1,1,1,"Bridgepointe Technologies, LLC",MSDL,Morgan Stanley Investment Management,Professional Services,64.721,66.078,-0.0205,,,,False,,False,,2025-09-30,2025-12-31,2
"Curana Health Holdings, LLC",curana health,2,GREEN,0,1,1,1,"Curana Health Holdings, LLC",HTGC,Hercules Capital (internal),Electronics & Computer Hardware,64.096,61.145,0.0483,,1.45,145.0,False,,False,,2025-09-30,2025-12-31,2
Revolut Ltd,revolut,2,GREEN,0,1,1,1,Revolut Ltd,TPVG,TriplePoint Advisers,Financial Institution and Services,63.852,24.345,1.6228,,,,False,,False,,2025-09-30,2025-12-31,2
"Legacy Corporate Lending HoldCo, LLC",legacy corporate,2,GREEN,0,1,1,1,"Legacy Corporate Lending HoldCo, LLC",BCSF,Bain Capital Credit,FIRE: Finance,63.489,53.1,0.1956,,,,False,,False,,2025-09-30,2025-09-30,1
"TEC Services, LLC",tec services,2,GREEN,0,1,1,1,"TEC Services, LLC",MAIN,Main Street Capital (internal),,63.403,63.51,-0.0017,12/31/2029,9.27,,False,,False,,2025-09-30,2025-12-31,2
"Raptor Merger Sub Debt, LLC",raptor sub,2,GREEN,0,1,1,1,"Raptor Merger Sub Debt, LLC",MSDL,Morgan Stanley Investment Management,Industrial Conglomerates,63.034,64.384,-0.021,,,,False,,False,,2025-09-30,2025-12-31,2
"Edition Holdings, Inc. and Enverus, Inc.",edition and,2,GREEN,0,1,1,1,"Edition Holdings, Inc. and Enverus, Inc.",ARCC,Ares Capital Management,,62.9,63.1,-0.0032,12/2032,8.2,,False,,False,,2025-12-31,2025-12-31,1
"Pindrop Security, Inc.",pindrop security,2,GREEN,0,1,1,1,"Pindrop Security, Inc.",HTGC,Hercules Capital (internal),Debt Investments,62.825,62.313,0.0082,,3.5,350.0,False,,False,,2025-09-30,2025-12-31,2
"Medical Manufacturing Technologies, LLC",medical manufacturing,2,GREEN,0,1,1,1,"Medical Manufacturing Technologies, LLC",CGBD,Carlyle Investment Management,Healthcare & Pharmaceuticals,62.813,62.527,0.0046,12/23/2027,,,False,,False,,2025-09-30,2025-12-31,2
Len the Plumber,len plumber,2,GREEN,0,1,1,1,Len the Plumber,OBDC,Blue Owl Credit Advisors,Household products,62.082,63.34,-0.0199,4/2028,,,False,,False,,2025-09-30,2025-12-31,2
Duro Dyne National Corp.,duro dyne,2,GREEN,0,1,1,1,Duro Dyne National Corp.,BXSL,Blackstone Credit Advisors,Electrical Equipment,61.541,61.266,0.0045,11/15/2031,,,False,,False,,2025-12-31,2025-12-31,1
"CRC Evans USA Bidco, Inc.",crc evans,2,GREEN,0,1,1,1,"CRC Evans USA Bidco, Inc.",MAIN,Main Street Capital (internal),,61.507,61.694,-0.003,6/30/2029,10.8,,False,,False,,2025-12-31,2025-12-31,1
"Detroit Defense, Inc.",detroit defense,2,GREEN,0,1,1,1,"Detroit Defense, Inc.",GAIN,Gladstone Management Corporation,,61.305,61.305,0.0,,,,False,,False,,2025-09-30,2025-12-31,2
"Ricardo Defense, Inc.",ricardo defense,2,GREEN,0,1,1,1,"Ricardo Defense, Inc.",GAIN,Gladstone Management Corporation,,61.305,61.305,0.0,,,,False,,False,,2025-09-30,2025-12-31,2
"Eden Acquisitionco, Ltd.",eden acquisitionco,2,GREEN,0,1,1,1,"Eden Acquisitionco, Ltd.",BXSL,Blackstone Credit Advisors,Pharmaceuticals,60.699,63.971,-0.0511,11/18/2030,,,False,,False,,2025-12-31,2025-12-31,1
"Mustang Prospects Holdco, LLC",mustang prospects,2,GREEN,0,1,1,1,"Mustang Prospects Holdco, LLC",ARCC,Ares Capital Management,,60.4,60.6,-0.0033,06/2031,8.69,,False,,False,,2025-12-31,2025-12-31,1
"Foodservices Brand Group, LLC",foodservices brand,2,GREEN,0,1,1,1,"Foodservices Brand Group, LLC",GLAD,Gladstone Management Corporation,,59.928,60.0,-0.0012,,,,False,,False,,2025-09-30,2025-12-31,2
"Elliott Davis Advisory, LLC",elliott davis,2,GREEN,0,1,1,1,"Elliott Davis Advisory, LLC",ARCC,Ares Capital Management,,59.8,26.9,1.223,07/2031,8.86,,False,,False,,2025-09-30,2025-12-31,2
Absolute Software,absolute software,2,GREEN,0,1,1,1,Absolute Software,OTF,Blue Owl Credit Advisors,Systems Software,59.676,59.714,-0.0006,7/2030,,,False,,False,,2025-09-30,2025-12-31,2
"Helix TS, LLC",helix ts,2,GREEN,0,1,1,1,"Helix TS, LLC",BXSL,Blackstone Credit Advisors,Transportation Infrastructure,59.131,59.092,0.0007,8/4/2030,,,False,,False,,2025-12-31,2025-12-31,1
"HS Purchaser, LLC, and Help/Systems Holdings, Inc.",hs and,2,GREEN,0,1,1,1,"HS Purchaser, LLC, and Help/Systems Holdings, Inc.",ARCC,Ares Capital Management,,59.1,62.5,-0.0544,05/2029,10.37,,False,,False,,2025-12-31,2025-12-31,1
"IFH Franchisee Holdings, LLC",ifh franchisee,2,GREEN,0,1,1,1,"IFH Franchisee Holdings, LLC",ARCC,Ares Capital Management,,59.0,59.0,0.0,12/2029,9.26,,False,,False,,2025-09-30,2025-12-31,2
"Soleo Holdings, Inc.",soleo,2,GREEN,0,1,1,1,"Soleo Holdings, Inc.",OBDC,Blue Owl Credit Advisors,,58.948,58.683,0.0045,2/2032,,,False,,False,,2025-09-30,2025-12-31,2
"Valcourt Holdings II, LLC and Jobs Holdings, Inc.",valcourt ii,2,GREEN,0,1,1,1,"Valcourt Holdings II, LLC and Jobs Holdings, Inc.",ARCC,Ares Capital Management,,58.8,58.8,0.0,11/2029,9.01,,False,,False,,2025-09-30,2025-12-31,2
Convera International Holdings Limited,convera international,2,GREEN,0,1,1,1,Convera International Holdings Limited,ARCC,Ares Capital Management,Financial Services,58.7,58.7,0.0,03/2030,8.44,,False,,False,,2025-09-30,2025-12-31,2
Summit Companies,summit companies,2,GREEN,0,1,1,1,Summit Companies,OBDC,Blue Owl Credit Advisors,Business services,58.156,55.193,0.0537,9/2028,,,False,,False,,2025-09-30,2025-12-31,2
Hadrian Acquisition Limited (United Kingdom),hadrian united,2,GREEN,0,1,1,1,Hadrian Acquisition Limited (United Kingdom),CGBD,Carlyle Investment Management,Diversified Financial Services,58.098,58.165,-0.0012,2/28/2029,,,False,,False,,2025-09-30,2025-12-31,2
